title,authors,year,venue,doi,abstract,source_url,discovery_source,discovery_query,inclusion_path,citation_count,reference_count,candidate_id,scored_at,venue_score,citation_score,institution_score,usage_score,relevance_score,total_quality_score,review_reason,recommended_action
"Spatial data for landslide susceptibility, hazard, and vulnerability assessment: An overview",Cees J. van Westen; Enrique Castellanos; Sekhar L. Kuriakose,2008,Engineering Geology,10.1016/j.enggeo.2008.03.010,,https://doi.org/10.1016/j.enggeo.2008.03.010,OpenAlex,internet investigation methods,discovery,1430.0,130.0,345,2026-04-23T15:04:15.521928+00:00,40.0,93.91,40.0,0.0,0.0,44.17,Below quality threshold,reject
Investigation of Public Perception of Brain Death Using the Internet,Amy H Jones; Zoelle B. Dizon; T. October,2018,Chest,10.1016/j.chest.2018.01.021,"Background Brain death is a difficult concept for the public to comprehend, resulting in a reliance on alternative resources for clarity. This study aims to understand the public’s perception of brain death via analysis of information on the Internet, determine the accuracy of that information, and understand how its perception affects the physician‐patient relationship. Methods We conducted a prospective cross‐sectional study to evaluate information available to the public about brain death. The top 10 Google websites were analyzed for language complexity and accuracy in describing brain death. The top 10 YouTube videos were examined for content and the comments qualitatively analyzed for themes. Results Inaccuracies describing brain death inconsistent with national guidelines were prevalent amongst 4 of 10 Google websites, 6 of 10 YouTube videos, and 80% of YouTube comments. On average, Google websites were written at a 12th grade level and 90% mentioned organ donation. Videos were frequently emotional (78%); 33% included negative comments toward physicians, of which 50% mentioned organ donation. All videos included clarification comments questioning the differences between brain death, death, coma, and persistent vegetative states. Conclusions The study revealed a significant amount of inaccurate information about brain death, affecting the public’s understanding of the concept of brain death and resulting in negative emotions specifically toward physicians, and the link between brain death and organ donation. The medical community can improve understanding through consistent, simplified language, dissociating brain death from organ donation, and recognizing the emotions tied to discussions of brain death.",https://www.semanticscholar.org/paper/b639c9dc89c88bcf5e719e055e57490bc0448b19,Semantic Scholar,internet investigation methods,discovery,29.0,,363,2026-04-23T15:04:15.521928+00:00,40.0,31.21,40.0,0.0,0.0,25.36,Below quality threshold,reject
"Psychometric properties of Internet-administered measures of health anxiety: an investigation of the Health Anxiety Inventory, the Illness Attitude Scales, and the Whiteley Index.",E. Hedman; B. Ljótsson; E. Andersson; G. Andersson; N. Lindefors; C. Rück; E. Axelsson; M. Lekander,2015,Journal of Anxiety Disorders,10.1016/j.janxdis.2015.01.008,,https://www.semanticscholar.org/paper/39136cc6dc041ec1d1c2f8f0a9f4bb2799c6d2b3,Semantic Scholar,internet investigation methods,discovery,38.0,,364,2026-04-23T15:04:15.521928+00:00,40.0,30.92,40.0,0.0,0.0,25.28,Below quality threshold,reject
Application of cognitive Internet of Medical Things for COVID-19 pandemic,Swati Swayamsiddha; Chandana Mohanty,2020,Diabetes & metabolic syndrome,10.1016/j.dsx.2020.06.014,"Background and aim In the age of advanced digital technology, smart healthcare based on the Internet of Things (IoT) is gaining importance to deal with the current COVID-19 pandemic. In this paper, the novel application of cognitive radio (CR) based IoT specific for the medical domain referred to as Cognitive Internet of Medical Things (CIoMT) is explored to tackle the global challenge. This concept of CIoT is best suited to this pandemic as every person is to be connected and monitored through a massive network that requires efficient spectrum management. Methods An extensive literature survey is conducted in the Google Scholar, Scopus, PubMed, Research Gate, and IEEE Xplore databases using the terms “COVID-19” and “Cognitive IoT” or “Corona virus” and “IoMT”. The latest data and inputs from official websites and reports are used for further investigation and analysis of the application areas. Results This review encompasses different novel applications of CIoMT for fighting the ongoing COVID-19 health crisis. The CR based dynamic spectrum allocation technique is the solution for accommodating a massive number of devices and a wide number of applications. The CIoMT platform enables real-time tracking, remote health monitoring, rapid diagnosis of the cases, contact tracking, clustering, screening, and surveillance thus, reducing the workload on the medical industry for prevention and control of the infection. The challenges and future research directions are also identified. Conclusions CIoMT is a promising technology for rapid diagnosis, dynamic monitoring and tracking, better treatment and control without spreading the virus to others.",https://www.semanticscholar.org/paper/3c6c19a9e28bb15ce583f1480a23650663700784,Semantic Scholar,internet investigation methods,discovery,146.0,,365,2026-04-23T15:04:15.521928+00:00,40.0,66.84,40.0,0.0,0.0,36.05,Below quality threshold,reject
IoMT-SAF: Internet of Medical Things Security Assessment Framework,Faisal S. Alsubaei; Abdullah Abuhussein; Vivek Shandilya; S. Shiva,2019,Internet of Things,10.1016/j.iot.2019.100123,"Abstract The emergence of the Internet of Medical Things (IoMT) has introduced a monumental change in facilitating the management of diseases, improving diseases diagnosis and treatment methods, and reducing healthcare cost and errors. This change has greatly impacted the quality of healthcare for both patients and all frontline healthcare workers. However, the IoMT is far from being immune to security and privacy breaches due to the wide variety IoMT vendors and products available on the market as well as the massive number of devices transmitting sensitive medical data wirelessly to the cloud. The lack of security awareness among healthcare users (e.g., patients, medical staff) aggravates the deficiencies and can facilitate attacks that jeopardize the patients’ lives. Therefore, ensuring the security and privacy of the IoMT becomes an urgent issue worthy of further investigation and resolution. Security cannot be planned for, managed, monitored, or controlled if it cannot be measured. However, security assessment poses problems for novice IoMT adopters when choosing security measures that are both sufficient and robust. Accordingly, we developed a web-based IoMT Security Assessment Framework (IoMT-SAF) based on a novel ontological scenario-based approach to recommend security features in IoMT and assess protection and deterrence in IoMT solutions. IoMT-SAF supports the selection of a solution that matches the stakeholder's security objectives and supports the decision-making process. The novelty of IoMT-SAF lies in its granularity, extensibility, as well as its ability to adapt to new stakeholders, and conformance to technology and medical standards.",https://www.semanticscholar.org/paper/e89d0e00e106aa12b54529a73cd9e681ce2ad44b,Semantic Scholar,internet investigation methods,discovery,163.0,,366,2026-04-23T15:04:15.521928+00:00,40.0,66.35,40.0,0.0,25.0,40.91,Below quality threshold,reject
An exploratory study of Internet of Things (IoT) adoption intention in logistics and supply chain management - a mixed research approach,Mengru Tu,2018,,10.1108/IJLM-11-2016-0274,,https://www.semanticscholar.org/paper/037443ae9e1b99a0e4b375c6fa925753bb4475b0,Semantic Scholar,internet investigation methods,discovery,244.0,,367,2026-04-23T15:04:15.521928+00:00,40.0,72.29,40.0,0.0,0.0,37.69,Below quality threshold,reject
A Recent Investigation on Detection and Classification of Epileptic Seizure Techniques Using EEG Signal,S. Saminu; Guizhi Xu; Z. Shuai; Isselmou Abd El Kader; A. H. Jabire; Y. K. Ahmed; Ibrahim Abdullahi Karaye; Isah Salim Ahmad,2021,Brain Science,10.3390/brainsci11050668,"The benefits of early detection and classification of epileptic seizures in analysis, monitoring and diagnosis for the realization and actualization of computer-aided devices and recent internet of medical things (IoMT) devices can never be overemphasized. The success of these applications largely depends on the accuracy of the detection and classification techniques employed. Several methods have been investigated, proposed and developed over the years. This paper investigates various seizure detection algorithms and classifications in the last decade, including conventional techniques and recent deep learning algorithms. It also discusses epileptiform detection as one of the steps towards advanced diagnoses of disorders of consciousness (DOCs) and their understanding. A performance comparison was carried out on the different algorithms investigated, and their advantages and disadvantages were explored. From our survey, much attention has recently been paid to exploring the efficacy of deep learning algorithms in seizure detection and classification, which are employed in other areas such as image processing and classification. Hybrid deep learning has also been explored, with CNN-RNN being the most popular.",https://www.semanticscholar.org/paper/1f66bf0a2cc3da1fa7e8896219230119f08f8ada,Semantic Scholar,internet investigation methods,discovery,70.0,,368,2026-04-23T15:04:15.521928+00:00,40.0,55.01,40.0,0.0,0.0,32.5,Below quality threshold,reject
How Has the COVID-19 Pandemic Impacted Internet Use Behaviors and Facilitated Problematic Internet Use? A Bangladeshi Study,Israt Jahan; I. Hosen; Firoj Al Mamun; Mark Mohan Kaggwa; M. Griffiths; M. Mamun,2021,Psychology Research and Behavior Management,10.2147/PRBM.S323570,"Background The COVID-19 pandemic-related “stay-at-home” and confinement orders has led individuals to be more engaged with technology use (eg, internet use). For a minority of individuals, excessive use can become problematic and addictive. However, the investigation of problematic internet use in the COVID-19 context is only just emerging. Therefore, the present study investigated the changes in internet use behaviors and addiction rates in comparison with prior Bangladeshi studies. Methods An online cross-sectional study was carried out among a total of 601 Bangladeshi students between October 7 and November 2, 2020. The survey included questions relating to socio-demographic, behavioral health, online use behaviors, and psychopathological variables. Results A quarter of the participants (26%) reported having low levels of internet addiction, whereas 58.6% were classed as having moderate internet addiction and 13% severe internet addiction. A total of 4% of the sample were classed as being at risk of severe internet dependency (ie, scoring over ≥80 on IAT). Risk factors for internet addiction included smartphone addiction, Facebook addiction, depression, and anxiety. However, the final hierarchical regression model comprising all variables explained a total of 70.6% variance of problematic internet use. Conclusion Based on the present findings, it is concluded that individuals are at elevated risk of problematic internet use like other psychological impacts that have been reported during the COVID-19 pandemic. Therefore, risk-reducing measures and healthy control use strategies should be implemented for vulnerable individuals.",https://www.semanticscholar.org/paper/e8b23a56bff6051fa0e0908ff87f5e81efcaef47,Semantic Scholar,internet investigation methods,discovery,63.0,,370,2026-04-23T15:04:15.521928+00:00,40.0,52.92,40.0,0.0,0.0,31.88,Below quality threshold,reject
"Community pharmacists, Internet and social media: an empirical investigation.",N. Shcherbakova; M. Shepherd,2014,Research in Social and Administrative Pharmacy,10.1016/j.sapharm.2013.11.007,,https://www.semanticscholar.org/paper/15222dff2eef1c9dab13563f070a528f11bc5b55,Semantic Scholar,internet investigation methods,discovery,48.0,,371,2026-04-23T15:04:15.521928+00:00,40.0,33.5,40.0,0.0,0.0,26.05,Below quality threshold,reject
"An investigation into problematic smartphone use: The role of narcissism, anxiety, and personality factors",Zaheer Hussain; M. Griffiths; D. Sheffield,2017,Journal of Behavioral Addictions,10.1556/2006.6.2017.052,"Background and aims Over the last decade, worldwide smartphone usage has greatly increased. Alongside this growth, research on the influence of smartphones on human behavior has also increased. However, a growing number of studies have shown that excessive use of smartphones can lead to detrimental consequences in a minority of individuals. This study examines the psychological aspects of smartphone use particularly in relation to problematic use, narcissism, anxiety, and personality factors. Methods A sample of 640 smartphone users ranging from 13 to 69 years of age (mean = 24.89 years, SD = 8.54) provided complete responses to an online survey including modified DSM-5 criteria of Internet Gaming Disorder to assess problematic smartphone use, the Spielberger State-Trait Anxiety Inventory, the Narcissistic Personality Inventory, and the Ten-Item Personality Inventory. Results The results demonstrated significant relationships between problematic smartphone use and anxiety, conscientiousness, openness, emotional stability, the amount of time spent on smartphones, and age. The results also demonstrated that conscientiousness, emotional stability, and age were independent predictors of problematic smartphone use. Conclusion The findings demonstrate that problematic smartphone use is associated with various personality factors and contributes to further understanding the psychology of smartphone behavior and associations with excessive use of smartphones.",https://www.semanticscholar.org/paper/e77ab855abb300c59e0fba1289f73390503ae74a,Semantic Scholar,internet investigation methods,discovery,215.0,,372,2026-04-23T15:04:15.521928+00:00,40.0,67.46,40.0,0.0,0.0,36.24,Below quality threshold,reject
Compensatory Usage of the Internet: The Case of Mukbang Watching on YouTube,Kağan Kırcaburun; Sabah Balta; Emrah Emirtekin; Şule Betül Tosuntas¸; Z. Demetrovics; M. Griffiths,2021,Psychiatry Investigation,10.30773/pi.2019.0340,"Objective Accumulating empirical research has emphasized that a wide range of online activities–such as using social networking sites–can be performed in order to compensate unattained needs or to cope with negative affect and psychopathological symptoms. Although the correlates of problematic social networking use have been extensively investigated, less is known about problematic YouTube use (PYU), an umbrella term grouping a number of different activities (e.g., viewing of online video games, watching specific YouTube channels). Furthermore, nothing is known concerning increasingly popular and distinct YouTube-related activities such as mukbang watching (i.e., watching livestream “eating broadcasts” where someone eats various foods in front of the camera while interacting with viewers). The aim of the present study was to examine the mediating role of problematic mukbang watching (PMW) on the relationships between depression and loneliness with PYU. Methods An online survey that comprised assessment tools for aforementioned variables was administered to 217 mukbang viewers (mean age=20.58 years, range 18–33 years). Results Results indicated that PMW was positively related to loneliness and PYU. Depression was positively and directly associated with PYU but was not associated with PMW. Conclusion Further research is required to better understand the psychological processes underlying problematic mukbang watching and its association with other mental health conditions (e.g., addictive disorders, eating disorders).",https://www.semanticscholar.org/paper/460593bfb3a004a9fdf747329f9cb65f21bd6e2b,Semantic Scholar,internet investigation methods,discovery,33.0,,373,2026-04-23T15:04:15.521928+00:00,40.0,40.56,40.0,0.0,0.0,28.17,Below quality threshold,reject
An Investigation of the Use of Internet Based Resources in Support of the Therapeutic Alliance,Amy Lopez,2014,Clinical social work journal,10.1007/s10615-014-0509-y,,https://www.semanticscholar.org/paper/2fc41e505222a03a8c285f8bbe2e9b92da1e68ff,Semantic Scholar,internet investigation methods,discovery,33.0,,374,2026-04-23T15:04:15.521928+00:00,40.0,27.38,40.0,0.0,0.0,24.21,Below quality threshold,reject
"Variety, frequency, and type of Internet use and its association with risk of depression in middle- and older-aged Chinese: A cross-sectional study.",Shiming Liao; Yongjie Zhou; Yifeng Liu; Ruoxi Wang,2020,Journal of Affective Disorders,10.1016/j.jad.2020.04.022,"BACKGROUND Internet use is beneficial to mental health has been acknowledged, but its specific patterns await further investigation in China's context of urban-rural disparity. Therefore, we aimed to understand the patterns of Internet use and measure their associations with risk of depression in China from three dimensions: variety, frequency and type. METHODS We selected 18,492 urban and rural Chinses respondents aged 45 years and older from China Health and Retirement Longitudinal Study (CHARLS) 2015 dataset. Risk of depression was measured by 10-item Centre for Epidemiologic Studies (CES-D 10). Internet use was measured from three dimensions: variety, frequency and type, whereas its relationship with risk of depression was examined by multivariate logistic regression model. RESULTS In the whole sample, 67.2% of respondents had no risk of depression, and approximately 7% used Internet, which was inversely associated with risk of depression (AOR=0.617, 95% CI=0.444, 0.858). Rural respondents had higher risk of depression (37.1% VS 26.2%) and lower prevalence of Internet use (2.6% VS 13%). Among rural respondents, using Internet occasionally (AOR=0.338; 95% CI=0.130, 0.881), using one type of device (AOR=0.293; 95% CI=0.113, 0.760), especially mobile phone (AOR=0.427; 95% CI=0.187, 0.978) were associated with lower odds of depression. No significant associations were observed in urban respondents. LIMITATIONS The causal relationship between variables awaits further investigation with a longitudinal design. CONCLUSION Internet use was negatively associated with risks of depression, especially in rural but not in urban participants. Rural-urban disparities should be considered when designing strategies to encourage moderate Internet use.",https://www.semanticscholar.org/paper/3cfc888f50c23b8f005defca14aba2a7bb6664f4,Semantic Scholar,internet investigation methods,discovery,70.0,,375,2026-04-23T15:04:15.521928+00:00,40.0,51.96,40.0,0.0,0.0,31.59,Below quality threshold,reject
Association between Sleep Habits and Problems and Internet Addiction in Adolescents,K. Kawabe; F. Horiuchi; Y. Oka; S. Ueno,2019,Psychiatry Investigation,10.30773/pi.2019.03.21.2,"Objective This study examined the association between sleep habits and problems and Internet addiction in adolescents. Methods Junior high school students from a local town in Japan (n=853; male/female, 425/428) were the subjects of this study, and were assessed for severity of Internet addiction and sleep habits and problems using the self-reported version of the Young’s Internet Addiction Test (IAT) and Child and Adolescent Sleep Checklist (CASC). Results The wake time on weekdays was not significantly different among the three groups; addicted, possibly-addicted, and non-addicted. In the addicted group, the total night sleep time was significantly shorter, and the bedtime was significantly delayed on both weekdays and weekends compared with those in the possibly-addicted and non-addicted groups. The wake time of the addicted group was significantly later than that of the other groups. The total scores of sleep problems measured by the CASC were significantly higher in the addicted and possibly-addicted groups than in the non-addicted group. Conclusion Internet addiction is strongly associated with sleep habits and problems in adolescents. These findings suggest that internet addiction should be considered while examining adolescent lifestyle.",https://www.semanticscholar.org/paper/5266465aa805b0b29b2baaf46cca61095c27d046,Semantic Scholar,internet investigation methods,discovery,59.0,,376,2026-04-23T15:04:15.521928+00:00,40.0,46.05,40.0,0.0,0.0,29.81,Below quality threshold,reject
The Type of Daily Life Stressors Associated with Social Media Use in Adolescents with Problematic Internet/Smartphone Use,Jiyeong Seo; Cheol-Soon Lee; Young-Ji Lee; S. Bhang; Dongyun Lee,2021,Psychiatry Investigation,10.30773/pi.2020.0060,"Objective This study investigated the types of daily life stressors associated with social media use in adolescents with problematic Internet/smartphone use in a city in Korea. Methods Data from 2,997 Internet and smartphone users who participated in a survey about the actual use of smart digital media in Korea were included. The measurement tools included questionnaires on Internet and smartphone usage patterns and types of daily life stressors as well as the Internet Gaming Use-Elicited Symptom Screen and a smartphone addiction scale. The subjects were divided into a problematic Internet/smartphone use group and a control group. We compared the types of daily life stressors associated with social media use for each group. Results All types of daily life stressors were more prevalent in the problematic Internet use group than in the control group. In the problematic Internet/smartphone use group, the types of daily life stressors that were positively associated with social media use were sibling rivalry and physical health. In the control group, social media use was negatively associated with daily life stressors related to appearance and heterosexual relationships. Conclusion There is a need to provide personalized stress management related to social media use for adolescents with problematic Internet/smartphone use.",https://www.semanticscholar.org/paper/c5082693bc1dff8b8d617ad09e1075a148b50b76,Semantic Scholar,internet investigation methods,discovery,20.0,,377,2026-04-23T15:04:15.521928+00:00,40.0,31.77,40.0,0.0,0.0,25.53,Below quality threshold,reject
Digital Exclusion Among Mental Health Service Users: Qualitative Investigation,Ben Greer; D. Robotham; S. Simblett; Hannah Curtis; H. Griffiths; T. Wykes,2018,Journal of Medical Internet Research,10.2196/11696,"Background Access to internet-enabled technology and Web-based services has grown exponentially in recent decades. This growth potentially excludes some communities and individuals with mental health difficulties, who face a heightened risk of digital exclusion. However, it is unclear what factors may contribute to digital exclusion in this population. Objective To explore in detail the problems of digital exclusion in mental health service users and potential facilitators to overcome them. Methods We conducted semistructured interviews with 20 mental health service users who were deemed digitally excluded. We recruited the participants from a large secondary mental health provider in South London, United Kingdom. We employed thematic analysis to identify themes and subthemes relating to historical and extant reasons for digital exclusion and methods of overcoming it. Results There were three major themes that appeared to maintain digital exclusion: a perceived lack of knowledge, being unable to access the necessary technology and services owing to personal circumstances, and the barriers presented by mental health difficulties. Specific facilitators for overcoming digital exclusion included intrinsic motivation and a personalized learning format that reflects the individual’s unique needs and preferences. Conclusions Multiple factors contribute to digital exclusion among mental health service users, including material deprivation and mental health difficulties. This means that efforts to overcome digital exclusion must address the multiple deprivations individuals may face in the offline world in addition to their individual mental health needs. Additional facilitators include fostering an intrinsic motivation to overcome digital exclusion and providing a personalized learning format tailored to the individual’s knowledge gaps and preferred learning style.",https://www.semanticscholar.org/paper/a1cf7ea285f1439cf418afbf9749203bc6893c19,Semantic Scholar,internet investigation methods,discovery,114.0,,378,2026-04-23T15:04:15.521928+00:00,40.0,56.66,40.0,0.0,0.0,33.0,Below quality threshold,reject
Data quality and the Internet of Things,Caihua Liu; Patrick Nitschke; Susan P. Williams; Didar Zowghi,2019,Computing,10.1007/s00607-019-00746-z,,https://www.semanticscholar.org/paper/515193e0624c4b6583e48c098e16551cb7a12e0c,Semantic Scholar,internet investigation methods,discovery,65.0,,379,2026-04-23T15:04:15.521928+00:00,40.0,47.91,40.0,0.0,0.0,30.37,Below quality threshold,reject
Internet-Based Parent-Implemented Intervention for Young Children With Autism,H. Meadan; M. Snodgrass; Lori E. Meyer; Kim W. Fisher; Moon Y. Chung; J. Halle,2016,,10.1177/1053815116630327,,https://www.semanticscholar.org/paper/843da1cc34b11d25374e47b4aabebfedca8e28e3,Semantic Scholar,internet investigation methods,discovery,180.0,,380,2026-04-23T15:04:15.521928+00:00,40.0,61.85,40.0,0.0,0.0,34.55,Below quality threshold,reject
Threats from the Dark: A Review over Dark Web Investigation Research for Cyber Threat Intelligence,Randa Basheer; Bassel Alkhatib,2021,Journal of Computer Networks and Communications,10.1155/2021/1302999,,https://doi.org/10.1155/2021/1302999,OpenAlex,dark web intelligence,discovery,56.0,65.0,404,2026-04-23T15:04:15.521928+00:00,40.0,50.6,80.0,0.0,0.0,37.18,Below quality threshold,reject
Exploring the Dark Web for Cyber Threat Intelligence using Machine Leaning,Masashi Kadoguchi; S. HAYASHI; Masaki Hashimoto; Akira Otsuka,2019,,10.1109/isi.2019.8823360,,https://doi.org/10.1109/isi.2019.8823360,OpenAlex,dark web intelligence,discovery,50.0,0.0,405,2026-04-23T15:04:15.521928+00:00,40.0,42.92,40.0,0.0,0.0,28.88,Below quality threshold,reject
Linking Exploits from the Dark Web to Known Vulnerabilities for Proactive Cyber Threat Intelligence: An Attention-based Deep Structured Semantic Model,Sagar Samtani; Yidong Chai; Hsinchun Chen,2022,MIS Quarterly,10.25300/misq/2022/15392,,https://doi.org/10.25300/misq/2022/15392,OpenAlex,dark web intelligence,discovery,74.0,90.0,406,2026-04-23T15:04:15.521928+00:00,40.0,59.8,40.0,0.0,0.0,33.94,Below quality threshold,reject
"A Crawler Architecture for Harvesting the Clear, Social, and Dark Web for IoT-Related Cyber-Threat Intelligence",Paris Koloveas; Thanasis Chantzios; Christos Tryfonopoulos; Spiros Skiadopoulos,2019,,10.1109/services.2019.00016,,https://doi.org/10.1109/services.2019.00016,OpenAlex,dark web intelligence,discovery,42.0,38.0,407,2026-04-23T15:04:15.521928+00:00,40.0,39.71,40.0,0.0,0.0,27.91,Below quality threshold,reject
Vulnerability Analysis at Industrial Internet of Things Platform on Dark Web Network Using Computational Intelligence,Anand Singh Rajawat; Romil Rawat; Kanishk Barhanpurkar; Rabindra Nath Shaw; Ankush Ghosh,2021,Studies in computational intelligence,10.1007/978-981-16-0407-2_4,,https://doi.org/10.1007/978-981-16-0407-2_4,OpenAlex,dark web intelligence,discovery,43.0,33.0,408,2026-04-23T15:04:15.521928+00:00,40.0,45.5,40.0,0.0,0.0,29.65,Below quality threshold,reject
Hadoop-based Dark Web Threat Intelligence Analysis Framework,Ying Yang; Huanhuan Yu; Lina Yang; Ming Yang; Lijuan Chen; Guichun Zhu; Liqiang Wen,2019,,10.1109/imcec46724.2019.8984106,,https://doi.org/10.1109/imcec46724.2019.8984106,OpenAlex,dark web intelligence,discovery,18.0,5.0,410,2026-04-23T15:04:15.521928+00:00,40.0,25.54,40.0,0.0,0.0,23.66,Below quality threshold,reject
Informing Cyber Threat Intelligence through Dark Web Situational Awareness: The AZSecure Hacker Assets Portal,Sagar Samtani; Weifeng Li; Victor Benjamin; Hsinchun Chen,2021,Digital Threats Research and Practice,10.1145/3450972,,https://doi.org/10.1145/3450972,OpenAlex,dark web intelligence,discovery,25.0,6.0,411,2026-04-23T15:04:15.521928+00:00,40.0,35.58,40.0,0.0,0.0,26.68,Below quality threshold,reject
Deep Self-Supervised Clustering of the Dark Web for Cyber Threat Intelligence,Masashi Kadoguchi; Kobayashi Hanae; S. HAYASHI; Akira Otsuka; Masaki Hashimoto,2020,,10.1109/isi49825.2020.9280485,,https://doi.org/10.1109/isi49825.2020.9280485,OpenAlex,dark web intelligence,discovery,19.0,5.0,412,2026-04-23T15:04:15.521928+00:00,40.0,28.43,40.0,0.0,0.0,24.53,Below quality threshold,reject
A Framework for Dark Web Threat Intelligence Analysis,Xuan Zhang; KP Chow,2018,International Journal of Digital Crime and Forensics,10.4018/ijdcf.2018100108,,https://doi.org/10.4018/ijdcf.2018100108,OpenAlex,dark web intelligence,discovery,12.0,1.0,413,2026-04-23T15:04:15.521928+00:00,40.0,18.36,40.0,0.0,0.0,21.51,Below quality threshold,reject
Navigating the Shadows: Manual and Semi-Automated Evaluation of the Dark Web for Cyber Threat Intelligence,Philipp Kühn; Kyra Wittorf; Christian Reuter,2024,IEEE Access,10.1109/access.2024.3448247,,https://doi.org/10.1109/access.2024.3448247,OpenAlex,dark web intelligence,discovery,15.0,95.0,414,2026-04-23T15:04:15.521928+00:00,100.0,38.82,40.0,0.0,0.0,42.65,Below quality threshold,reject
Autonomous Artificial Intelligence Systems for Fraud Detection and Forensics in Dark Web Environments,Romil Rawat; Olukayode Oki; Rajesh Kumar Chakrawarti; Temitope Samson Adekunle; Jose Manappattukunnel Lukose; Sunday Adeola Ajagbe,2023,Informatica,10.31449/inf.v46i9.4538,,https://doi.org/10.31449/inf.v46i9.4538,OpenAlex,dark web intelligence,discovery,22.0,48.0,415,2026-04-23T15:04:15.521928+00:00,40.0,40.56,80.0,0.0,0.0,34.17,Below quality threshold,reject
Dark Web Marketplaces: Data for Collaborative Threat Intelligence,Kate Connolly; Anna Klempay; Mary McCann; Paul Brenner,2023,Digital Threats Research and Practice,10.1145/3615666,,https://doi.org/10.1145/3615666,OpenAlex,dark web intelligence,discovery,10.0,19.0,416,2026-04-23T15:04:15.521928+00:00,40.0,27.14,40.0,0.0,0.0,24.14,Below quality threshold,reject
Dark Web Pattern Recognition and Crime Analysis Using Machine Intelligence,"Rawat, Romil; Mascari, Jean-Francois; Mahor, Vinod; Telang, Shrinkant; Pachlasiya, Kiran",2022,"Advances in digital crime, forensics, and cyber terrorism book series",10.4018/978-1-6684-3942-5,,https://doi.org/10.4018/978-1-6684-3942-5,OpenAlex,dark web intelligence,discovery,18.0,0.0,417,2026-04-23T15:04:15.521928+00:00,40.0,33.07,40.0,0.0,0.0,25.92,Below quality threshold,reject
TorBot: Open Source Intelligence Tool for Dark Web,P. S. Narayanan; R. Ani; Akeem T. L. King,2020,Lecture notes in networks and systems,10.1007/978-981-15-0146-3_19,,https://doi.org/10.1007/978-981-15-0146-3_19,OpenAlex,dark web intelligence,discovery,8.0,21.0,418,2026-04-23T15:04:15.521928+00:00,40.0,16.51,40.0,0.0,25.0,25.95,Below quality threshold,reject
Dark-Web Cyber Threat Intelligence: From Data to Intelligence to Prediction,Paulo Shakarian,2018,Information,10.3390/info9120305,,https://doi.org/10.3390/info9120305,OpenAlex,dark web intelligence,discovery,12.0,6.0,419,2026-04-23T15:04:15.521928+00:00,40.0,18.36,40.0,0.0,0.0,21.51,Below quality threshold,reject
Extraction of Actionable Threat Intelligence from Dark Web Data,Varsha Varghese; S Mahalakshmi; Senthilkumar Kb,2023,,10.1109/iccc57789.2023.10165477,,https://doi.org/10.1109/iccc57789.2023.10165477,OpenAlex,dark web intelligence,discovery,8.0,8.0,420,2026-04-23T15:04:15.521928+00:00,40.0,23.8,40.0,0.0,0.0,23.14,Below quality threshold,reject
Using Computational Intelligence for the Dark Web and Illicit Behavior Detection,"Sankaran, K Sakthidasan; Rawat, Romil; Kaur, Upinder; Khan, Shadab; Sikarwar, Ranjana",2022,"Advances in digital crime, forensics, and cyber terrorism book series",10.4018/978-1-6684-6444-1,,https://doi.org/10.4018/978-1-6684-6444-1,OpenAlex,dark web intelligence,discovery,12.0,0.0,421,2026-04-23T15:04:15.521928+00:00,40.0,26.52,40.0,0.0,0.0,23.95,Below quality threshold,reject
"On Strengthening SMEs and MEs Threat Intelligence and Awareness by Identifying Data Breaches, Stolen Credentials and Illegal Activities on the Dark Web",George Pantelis; Petros Petrou; Σοφία Καραγιώργου; Δ. Αλεξάνδρου,2021,,10.1145/3465481.3469201,,https://doi.org/10.1145/3465481.3469201,OpenAlex,dark web intelligence,discovery,19.0,15.0,422,2026-04-23T15:04:15.521928+00:00,40.0,30.92,40.0,0.0,0.0,25.28,Below quality threshold,reject
Artifical Intelligence and Machine Learning Algorithms in Dark Web Crime Recognition,Neha Nitin Gawali; Shailesh Bendale,2022,"Advances in digital crime, forensics, and cyber terrorism book series",10.4018/978-1-6684-6444-1.ch007,,https://doi.org/10.4018/978-1-6684-6444-1.ch007,OpenAlex,dark web intelligence,discovery,7.0,3.0,423,2026-04-23T15:04:15.521928+00:00,40.0,18.97,40.0,0.0,0.0,21.69,Below quality threshold,reject
Cyber Threat Intelligence Discovery using Machine Learning from the Dark Web,,2023,Communications of the IIMA,10.58729/1941-6687.1436,,https://doi.org/10.58729/1941-6687.1436,OpenAlex,dark web intelligence,discovery,6.0,6.0,424,2026-04-23T15:04:15.521928+00:00,40.0,19.85,40.0,0.0,0.0,21.96,Below quality threshold,reject
Towards Safe Cyber Practices: Developing a Proactive Cyber-Threat Intelligence System for Dark Web Forum Content by Identifying Cybercrimes,Kanti Singh Sangher; Archana Singh; Hari Mohan Pandey; Vivek Kumar,2023,Information,10.3390/info14060349,,https://doi.org/10.3390/info14060349,OpenAlex,dark web intelligence,discovery,16.0,92.0,425,2026-04-23T15:04:15.521928+00:00,40.0,34.87,40.0,0.0,25.0,31.46,Below quality threshold,reject
